一个	одна штука, один
快速	быстрый, скорый; быстродействующий
敌人	враг, противник, неприятель
民众	народные массы, народ, население; массовый
特色	характерная черта, свойство, особенность
男子	мужчина, муж -----устар. сын
背景	фон
著名	знаменитый, известный, прославленный
见到	лично увидеть (узреть)
认真	серьёзный; добросовестный; ответственный
身份	положение (социальное)
通知	сообщать, извещать, информировать
专门	специальный; отраслевой; специальность
中学	средняя школа, среднее учебное заведение
体现	воплощать, осуществлять
兴趣	интерес, вкус, увлечение, охота
几天	сколько дней?
复杂	сложный; составной; комплексный; сложность
女子	женщина; женский
对方	противная сторона, противник
少数	shǎoshù меньшинство; меньший
打开	открыть, распахнуть, раскрыть, отворить
指导	вести, указывать путь; направлять
明确	ясный, недвусмысленный; точный
来到	настать, наступить
比如	например; допустим
法院	суд, судебная палата
犯罪	совершить преступление
理由	обоснование, мотив, довод; причина, резон
结婚	жениться, вступить в брак, заключить брак
缺乏	недоставать; не хватать; нехватка
苹果	яблоко
表演	представлять, показывать, выступать
计算	рассчитывать, вычислять; прикидывать
货币	деньги; валюта; монета; денежный
邀请	приглашать; приглашение
高兴	обрадоваться, радоваться, воодушевиться
不得	не получить, не добиться, не достать
争取	бороться (драться) за..., завоевывать
传播	распространять (учение, взгляды)
体制	система
南京	Нанкин, Наньцзин (город в Китае)
否则	иначе, а то..., если не так, то...
基金	фонд -----Кидин, Кикин (фамилия)
学者	учёный
杂志	журнал; альманах, сборник
材料	материал
核心	сердцевина; ядро; центр; суть, сущность
满足	быть удовлетворённым (чем-л.)
特殊	особый, специфический, частный
移民	переселять народ; колонизировать
类型	тип; типичный, типовой, вид, категория
进步	шаг вперед, движение вперёд; сдвиг
连续	последовательный, преемственный
鼓励	поощрять, стимулировать, воодушевлять
中华	Китай; китайский -----
人生	жизнь человека; человеческий век
从事	заниматься (чем-л.), осуществлять
优秀	лучший, превосходный; выдающийся; отличный
刚刚	только что
制定	устанавливать, принимать, составлять
员工	служащие и рабочие; сотрудник, работник
因素	фактор; условие; момент; причина
家里	в доме, дома
强烈	сильный, мощный, интенсивный; решительный
手段	средство, мера; метод, приём, манёвр
挑战	вызов, проблема
推进	двигать (продвигать) вперёд, продвигаться
措施	меры, мероприятия
整体	[единое] целое, неделимое; монолит
文明	культура; просвещение; культурный
显然	ясный, явный; очевидно; заметно; явно
概念	филос. понятие; понятийный
特点	особый (характерный) пункт; своеобразие
看着	смотреть
等等	děngděng и так далее, и прочее
纽约	Нью-Йорк (штат и город в США)
美丽	красивый, очаровательный, прекрасный
老婆	разг. жена
老板	хозяин, владелец (лавки, магазина), босс
英文	английский язык (письменный)
警方	полиция
访问	визит, поездка, посещение; нанести визит
评价	оценивать, давать оценку; оценка
贡献	ист. приносить (платить) дань
财产	имущество, собственность; достояние
距离	расстояние, дальность, промежуток
那种	тот вид, тот сорт, тот род; такого рода
重视	придавать значение
食品	пищевые продукты, продовольствие, съестное
不好	нехороший, плохой, дурной
优势	выгодное положение, преимущество, перевес
伤害	вредить; повреждать; наносить повреждения
保障	охранять, защищать
出口	сказать; произнести
加上	добавлять, прибавлять, накидывать
博士	доктор [наук] (учёная степень)
害怕	бояться, опасаться, пугаться; страх
对象	объект, предмет; мишень, цель
感受	ощущать, чувствовать; воспринимать
投入	вступать, включаться (напр. в строй
最佳	лучший, наилучший, оптимальный
法规	законодательный, нормативный акт
漫画	карикатура, шарж
物质	материя, вещество (также физ., хим.
生物	живое существо; создание; живой организм
移动	передвигать, перемещать
翻译	переводить; перевод (с языка на язык)
英雄	герой; героический
表达	выражать, формулировать; выразительный
设施	сооружение, объект; инфраструктура
队伍	отряд, строй; шеренги войск
中文	китайский язык
人人	каждый человек; все люди, поголовно
开心	подшучивать (над кем-либо)
更好	ещё лучше, лучше
最新	самый новый, самый последний
案件	дело; судебное дело
男性	мужской пол; мужская природа; мужчина
福利	благосостояние, благополучие
自动	самодвижущийся, самоходный
证据	обосновывать, доказывать; основание
路线	путь, маршрут; тропа, трасса; линия связи
身边	при себе; около себя, рядом, сбоку
迅速	быстрый, скорый, стремительный, динамичный
遇到	встречать; встречаться с...
高级	высшая ступень; высокого разряда
一件	один (сч. слово)
一段	отрезок; отрывок; абзац
主义	идея, основной принцип; теория, учение
享受	пользоваться благом; наслаждаться
人才	талант, талантливый человек
从而	тем самым, таким образом, вследствие этого
估计	оценивать; вычислять стоимость; оценка
冲突	столкновение, конфликт, стычка, коллизия
发挥	развивать, развёртывать (вопрос, идею
受伤	пораниться, получать травму; быть раненым
命令	приказ, указ; декрет; приказание
哪个	(разг. nǎige, něige)
商品	товар, продукт; товарный
国民	гражданин, подданный
境内	в границах; в пределах
学会	выучить; овладеть; научиться
当年	I dàngnián в том же году
文字	письменность, письмо, письмена, буквы
海外	за морем; за границей; заморский
消费	потреблять, расходовать, тратить
眼睛	глаз, глаза
网友	друг в Интернете, сетевой друг, френд
至今	до настоящего времени, до сих пор
课程	курс обучения, учебный план, программа
资格	квалификация, положение, компетенция
超级	наивысшая степень; высшее качество
难以	трудно, невозможно
首次	впервые; первый
之中	среди; в; в середине
修改	изменять, вносить поправки, пересматривать
培训	готовить; растить (напр., кадры); обучать
如今	ныне, теперь, сейчас, в настоящее время
山东	Шаньдун (провинция в КНР)
帝国	монархия; императорский
打击	удар
推广	расширять, развивать, внедрять (способ
提升	выдвигать (напр. на пост), продвигать
机制	механизм (прям. и перен.)
机器	машина, механизм; устройство; машинный
爆发	взрываться, детонировать; взрыв, разрыв
留下	оставить, задержать (у себя)
竞争	соперничать, бороться, конкурировать
紧张	напрячься, напряжение; напряжённый
纪念	помнить, не забывать (событие)
自身	сам, лично, самолично; свой, собственный
运行	работать, функционировать
集中	сосредоточивать, собирать, накапливать
面前	перед лицом, в присутствии
食物	продукты питания; пища, еда, съестное
不知	не знать, не понимать, не признавать
不足	недостаточно, не хватает; недостаточный
东京	Токио (город в Японии)
东北	северо-восток; северо-восточный
事务	дело, занятие, работа
充满	наполнить, заполнить; наполниться
出去	выходить (отсюда); выйти (куда-то
区别	различие, разница, расхождение
反映	отражать; отражение, рефлекс
名称	название, наименование, имя; заглавие
吸引	втягивать, вовлекать, привлекать
哥哥	старший брат
处于	находиться в...; пребывать в...
娱乐	радоваться, веселиться
实验	испытывать, экспериментировать
家人	члены семьи, домашние
展开	развёртывать, раскрывать (напр. книгу
形象	фигура, форма; образ; изображение
打算	рассчитывать, прикидывать
支付	платить, уплачивать; выплачивать; уплата
收到	получить -----вас понял
教学	jiàoxué преподавание (обучение) и учёба…
斗争	бороться (с кем-л., против чего-л.
昨天	вчера
机械	тех. машина, механизм; механический
澳门	Макао, Аомынь (Аомэнь) (автономная…
用于	предназначаться для, использоваться в
符合	соответствовать, отвечать (чему-л.)
粮食	зерно, хлеб (в зерне); зерновой
给予	давать (кому-л. что-л.); дарить
维持	поддерживать, сохранять; защищать
观众	зрители, публика, аудитория; посетители
非洲	Африка; африканский
上面	верх; наверху
发动	приходить в движение, выступать
同学	одноклассник, однокашник, одногруппник
团结	сплачиваться; соединяться; сплочение
天津	Тяньцзинь (город и административный район
好好	хорошенько, тщательно, как следует
客户	клиент; покупатель; заказчик
小学	начальная школа, начальное образование
强大	могучий [и великий], сильный [и обширный]
彻底	до конца, до самого дна, основательно
想到	подумать (о чем-л.); прийти в голову
批准	утвердить (постановление, решение)
早上	утро; утром
武汉	Ухань (город в провинции Хубэй, КНР)
比例	пропорция; отношение; масштаб
生态	экологический; в сложных терминах эко-
观察	наблюдать (смотреть) за; обозревать
规范	образец, норма, стандарт, правило, кодекс
运输	перевозить, транспортировать; перевозка
降低	снизиться, понизиться; пониженный
非法	незаконный, неправомерный, нелегальный
风格	стиль, жанр, манера (в литературе
使得	пригодный, годный, приемлемый, допустимый
出发	отправляться (в путь), выезжать
各个	каждый порознь; поодиночке; отдельный
各位	все
听说	слышно, что...; как говорят...
培养	вскармливать; выращивать; лелеять
天下	мир, свет, везде; поднебесная, вселенная
完美	прекрасный, совершенный, идеальный
并非	вовсе не..., отнюдь не..., совсем не...
心里	в душе, в уме, про себя
怀疑	сомневаться, ставить под вопрос; сомнение
性质	характер, натура, природа
想法	мышление, образ мыслей, точка зрения
成本	себестоимость, расходы, затраты, издержки
描述	описывать; описание, характеристика
操作	трудиться; выполнять тяжёлую физическую…
正是	точно, именно, именно так
注册	заносить в списки, регистрировать
测试	проверка, испытание, тест, тестирование
私人	частное лицо; частный, личный
网上	интернет
考试	держать (сдавать) экзамен
而已	и только; и кончено; не больше
议员	член высшего выборного законодательного…
资产	средства, активы; бухг. актив
一旦	если, в случае, когда, как только
一项	пункт (статья) (напр. документа, договора
从来	всегда; никогда (перед отрицанием)
升级	получить повышение, повыситься по службе
大约	приблизительно, около
完整	законченный, полный, цельный, целый
审查	проверять, контролировать; инспектировать
就业	устроиться на работу, приступить к работе
情绪	настроение, переживание, чувство, эмоция
消失	исчезать, пропадать, сходить на нет
深圳	Шэньчжэнь (город, провинция Гуандун, КНР)
游行	ходить, шествовать; шествие, демонстрация
直播	прямой эфир, прямая передача
确保	обеспечивать, гарантировать; гарантия
禁止	прекратить, пресечь, запретить
良好	хороший, прекрасный, превосходный
衣服	одежда
一步	шаг
下面	низ, внизу, ниже; нижний, следующий
东方	восток
众多	многочисленный, огромный; множество
依然	по-прежнему, по-старому, всё так же
公平	честный, справедливый, беспристрастный
包含	содержать (в себе); включать; составлять
卫生	санитария; гигиена; здравоохранение
国王	государь, правитель, монарх; ван; царь
多么	так, до такой степени; насколько же...!
太阳	солнце; солнечный свет
实践	практика, практическая деятельность
少女	молодая девушка, девица, молодая женщина
工厂	фабрика, завод; мастерская
心理	психика; умонастроение; склад ума
忘记	забыть, запамятовать, забытие
或是	может быть; возможно, возможно является
投票	голосовать; опускать бюллетень
接触	входить в соприкосновение (контакт
日子	день; срок, время; дата
构成	соорудить, построить, возвести, создать
某些	некоторые, отдельные, какие-то
民间	народный; в народе; народ
爱情	любовь, чувство любви; привязанность
特征	[специфическая] особенность
石油	нефть; нефтяной
立即	сразу же, тут же, немедленно, тотчас
立法	законодательство; законодательный
自我	сам, себя; само-
道德	нравственность; честность; добродетель
高度	высота, вышина, рост
一边	одна сторона, один аспект
三年	три года, трёхгодичный, трёхлетний
不敢	не осмеливаться, не решаться, не взяться
严格	строгий; точный, чёткий; строго
几年	несколько лет
大概	вероятно, пожалуй, возможно
审判	судить, привлекать к судебной…
尊重	уважать, почитать; считаться (с кем-л.)
小姐	девушка, барышня, мисс
少年	молодые годы; детство, юность; годы юности
巴黎	Париж (столица Франции)
平等	равенство, паритет, равноправие
引发	вызывать, влечь за собой, порождать
当局	власти, администрация
普遍	повсеместный; всеобщий, универсальный
毕竟	в конце концов, наконец, всё-таки, всё же
爸爸	папа, отец
用来	использовать для ...; использование для...
监狱	тюрьма
联邦	федерация, федеральное государство
说法	версия, взгляд
读者	читатель
费用	расходы, издержки, траты, затраты
违法	нарушить (преступить) закон
酒店	гостиница, отель
代理	замещать; исполнять обязанности
共有	в итоге [составляет], всего [имеется]
关闭	закрывать, запирать; выключать
冠军	чемпион, золотой медалист
出席	присутствовать (напр. на собрании)
判断	определять, решать; определение, решение
势力	сила, мощь, влияние, могущество
后面	задняя сторона, зад
品牌	бренд, торговая марка; фирменный
导演	режиссировать; режиссёрский
小组	группа, ячейка (напр. партийная); кружок
就要	собираться; намереваться
年度	год (период); годовой; ежегодный
广播	радиовещание, вещание, передача по радио
拍摄	снимать (напр., фильм); фотографировать
正义	справедливость; справедливый, правый
疯狂	безумие, умопомешательство, сумасшествие
趋势	тенденция, течение; стремление; тренд
足够	достаточный; вполне достаточно; хватает
转移	перемещение; перенос; сдвиг; перемещать
预算	бюджет; смета; бюджетный
一份	доля; пай; порция
一句	одна фраза, одно предложение
一部	частичный, отчасти
作出	разрабатывать; составлять; выполнить
做出	сделать, издавать, выделывать, сделанный
分类	классифицировать, систематизировать
动作	движение, телодвижение
协助	содействовать, помогать; содействие
四个	четыре, четыре штуки; четверо, вчетвером
城镇	городок, посёлок городского типа
多个	несколько, много, множество
姐姐	старшая сестра
家族	род, клан; родовой, клановый
就算	допустим (даже), если даже, пусть (даже)
市长	градоначальник; городской голова
往往	все [перечисленные] в основном (склонны к…
抗议	протест; заявлять протест
损失	ущерб; убыль, убыток; утрата, потеря; урон
时刻	время
本人	человек, о котором идёт речь
来看	(прийти + посмотреть)
标志	знак, опознавательный знак, указатель
梦想	мечтать; мечта; фантазия; химера
痛苦	мучиться, страдать; страдание, мучение
的确	действительный, подлинный; фактический
确认	определять, обозначать, уточнять
立场	положение, позиция
网页	веб-страница
进口	вход, въезд; входной
重庆	Чунцин (город и административный район
预测	предполагать
频道	канал (частотный, видео, аудио)
主动	добровольно, [действовать] по своей…
之外	кроме; помимо того за исключением
信号	сигнал, сигнализация; сигнальный
像是	весьма похоже
刚才	только что, сейчас только
名单	список имён, именной список
地震	геол. землетрясение; сейсмический
展示	открываться (напр., о перспективе)
年龄	возраст
应当	I yīngdāng
当中	середина; на середине, посреди, в центре
微信	Вичат, Вэйсинь
成就	успех, удача, достижение
接近	прилегать, граничить с; близлежащий
森林	лес; леса; лесной
江苏	Цзянсу (провинция в КНР)
涉及	касаться, иметь отношение к...
演员	артист, актёр
补充	пополнять; комплектовать; доукомплектовать
贷款	предоставлять ссуду [кредит]; кредитовать
遭到	см. 遭受
阻止	останавливать, прекращать; препятствовать
上帝	бог, небеса, божество; о боже!
上述	вышеизложенный, вышеуказанный
临时	когда придёт время (пробьёт час)
争议	спорить; спор; спорный
人大	сокр.
他人	другое лицо, другой человек
古代	прошлые эпохи, древние династии
命运	судьба, рок; участь, удел; воля неба
因而	ввиду этого, а потому, и в связи с этим
地图	карта (географическая)
地点	[географический] пункт; точка; место
声明	заявление, уведомление, разъяснение
多次	многократный, неоднократный; многократно
始终	от начала и до конца; всегда, всё время
实力	[реальная] сила, мощь
小孩	[грудной] ребёнок, дитя, кроха, младенец
幸福	счастье; благополучие
广大	широкий, обширный, громадный, просторный
新疆	Синьцзян (автономный район в КНР)
演出	ставить (на сцене), исполнять, играть
澳洲	(сокр. от 澳大利亚洲) Австралия (континент)
照顾	принимать во внимание, учитывать
百度	«Байду» (китайская поисковая система)
竟然	неожиданно, к удивлению; оказываться
股份	пай, доля, акция
西部	западная часть; западный район
角度	(угловой) градус, величина угла, угол
试图	пытаться, пробовать; попытка
采访	интервью, репортаж; брать интервью
随后	после чего; вслед за тем; впоследствии
颜色	цвет (выражение) лица; [внешний] вид
丈夫	I, zhàngfū
不行	нельзя, не годится; не пойдёт!; не выйдет
中间	посредине, в центре; между; среди
交换	эк. меняться (напр. товарами); вести обмен
体验	испытать, испробовать, познать, изведать
做到	сделать; доделать, выполнить; добиться
别的	другой, иной, прочий; отдельный, особый
参考	наводить справки, справляться (по книгам
基于	основываться на...; на основании, согласно
天天	каждый день, ежедневно
巴西	Бразилия
思考	размышлять, продумывать; анализировать
恐怖	террор; страх, ужас; ужасающий, жуткий
授权	наделить полномочиями, уполномочить
播放	проиграть, воспроизвести (напр., фильм)
有趣	интересный, занимательный, увлекательный
武装	военная форма (одежды); военный убор
爆炸	взрывать; детонировать; взрыв; разрыв
第三	третий (по порядку); в-третьих
等待	ждать, ожидать
组合	объединять; комбинировать; составлять
经典	канонические книги, священный свод
绿色	зелёный цвет; зелёный
至于	что (же) касается...; что до...
议会	парламент; парламентский
财富	богатство, состояние, блага, ценности
越南	Вьетнам
适应	годиться, соответствовать
适当	подходящий; надлежащий; целесообразный
一群	стадо, отара, табун; стая
动力	тяга, мощность (мотора)
南部	южная часть; южный
即将	в ближайшем будущем, в скором времени
周年	годовщина; годичный
咱们	мы, мы с вами (с тобой)
对待	оказывать приём; обращаться с (кем-л.)
尝试	пробовать, пытаться, испытывать; попытка
居住	проживать, жить; проживание
房子	дом, здание
报纸	газета; пресса, печать
指挥	управлять, командовать, руководить
方便	удобный, комфортабельный; подходящий
既然	раз уже, поскольку, коль скоро, уж коли...
泰国	Таиланд
病毒	мед. вирус, вирусное заболевание
连结	соединяться, соприкасаться; соединительный
配合	сочетать, соединять[ся], подбирать
首都	столица, столичный
黑人	скрывающийся преступник
上市	идти на базар; покупать на рынке
之下	под...
互相	друг друга; взаимный; взаимно, обоюдно
令人	побуждать, заставлять людей (что-л. делать
会员	член (союза, общества), участник
公路	государственная автодорога
出生	рождаться, родиться, рожать; рождение
十年	десятилетие, 10 лет (отрезок времени
司法	правосудие, юстиция; суд; юридический
天气	погода
完善	превосходный, совершенный; прекрасный
定义	научное определение, формулировка
家长	глава семьи (рода); отец семейства
建造	строить, сооружать; строительство
当前	нынешний, текущий; настоящий; современный
意外	непредвиденный, неожиданный, случайный
感情	чувство; душевное состояние, чувства
承诺	(дать) обещание
污染	загрязнить, запачкать
疾病	болезнь; заболевание
究竟	в конце концов; наконец; в конечном счёте
答案	ответ, решение
红色	красный цвет; красный
背后	за спиной; на спине; втихомолку
能源	энергоносители, источники энергии
自杀	покончить с собой; самоубийство, суицид
西藏	Тибет, Сицзан (автономный район в КНР)
讲话	разговор, беседа; разговаривать
详细	детальный, подробный; подробно
进去	входить (туда) -jìnqù
领袖	вождь, лидер, руководитель, глава, князь
马上	тотчас, немедленно, сразу
高中	сокр. средняя школа старшей ступени
下降	спускаться, опускаться; падать; нисходить
不久	недолго; недавно
东部	восточная часть, восточный район; восток
两种	два вида, два типа
乡村	деревня (в противоположность городу)
信仰	вера; убеждения, идеалы; кредо
先后	быть впереди или отставать
决议	постановление; резолюция; решение
原本	источник, изначально, основа, начало
及时	своевременно; вовремя; ко времени, кстати
可怕	страшный; ужасный; внушающий страх
合理	рациональный, разумный; логичный
地址	адрес
增强	укреплять, усиливать, укрепляться
女生	ученица; студентка
如下	как ниже следует; нижеследующий, следующий
妹妹	младшая сестра
尚未	ещё не; всё ещё не; пока не...
工资	заработная плата
成果	результат, плоды, успехи, завоевания
掌握	поймать, захватить (взять) в свои руки
收集	собирать (в одно место); подбирать (кадры)
暴力	насилие; грубая сила; насильственный
期待	ждать с нетерпением, ожидать, надеяться
生存	существовать, выживать, существование
要是	если
赢得	выиграть, получить, добиться; одержать
为主	быть главным (основным, первостепенным)
分子	I fēnzǐ
办理	вести дела, заниматься делами
动态	обстановка, ситуация
发射	выпустить [стрелу]
可爱	милый, очаровательный, прелестный
启动	приводить в движение, начать движение
在线	онлайн, в сети
地理	география; географический
外交	дипломатические (международные) отношения
大小	величина, размер
婚姻	брак, супружество
将军	генерал; адмирал
总结	общий итог, резюме, выводы, заключение
成熟	созревать, вызревать (напр. о плодах)
政党	[политическая] партия; партийный
数学	математика; математический
有着	иметь, обладать
条例	правила; регламент; устав, наставление
植物	растение; растительность, растительный
深入	глубоко проникать, углубляться в...
电力	мощность [электротока]
看法	подход, точка зрения, мнение; взгляды
突破	прорывать (окружение); прорыв
简直	попросту, прямо-таки, просто-напросто
简称	сокращённое (краткое) название
航空	воздухоплавание; авиация; аэронавигация
讨厌	испытывать отвращение (к кому-либо
证券	юр. документ, акт
请求	просить, упрашивать
财政	финансы; финансовый
走向	направление; прохождение (напр.
达成	добиться, достигнуть, дойти до...
进来	входить (сюда); войдите!
追求	гнаться за (чем-л.)
逻辑	логика; логический; логичный
集体	коллектив, группа; коллективный
顺利	успешный, благополучный, благоприятный
麻烦	беспокойный, надоедливый; трудный
一座	числ. + сч. слово один...
云南	Юньнань (провинция в КНР)
人家	дом, двор; семейный очаг; жилище
伦敦	Лондон (город в Англии)
党员	член партии
具备	иметь, обладать, держать наготове
厉害	невыносимый, нестерпимый; суровый
司机	водитель, шофёр; машинист; моторист
周围	круг, окружность; периферия; мат. периметр
咨询	совет, консультация, консалтинг, справка
多久	как давно?; сколько времени назад?
大众	широкие массы; массовый, популярный
提醒	напоминать, заставить вспомнить
暂时	временный; кратковременный, преходящий
沟通	взаимодействие (в частности речевое)
特定	специальный; особенный; особый; частный
策略	стратегия, планы; комбинация; манёвр
转变	изменение, изменять, измениться; перелом
违反	нарушать; отступать (от правил)
释放	выпускать, освобождать, давать свободу
预计	заранее рассчитывать, предполагать
一半	половина; пополам, наполовину; половинка
一致	единый; единодушный, единогласный, дружный
传说	слухи; пересуды; говорят о... (о слухах)
全体	всё тело, весь организм; живое тело
刺激	раздражать, возбуждать, стимулировать
协调	согласованность, (с)координированность
哪些	(разг. nǎixiē, něixiē)
哲学	философия; философский
四川	Сычуань (провинция в КНР)
国会	парламент; парламентский
士兵	рядовой; солдат; солдатский
大多	в большей части, более чем наполовину
奇怪	странный, необыкновенный, причудливый
差异	различный, отличный от...; отличие
市民	городское население, горожане
幸运	счастливая возможность
承担	брать на себя (обязательство, долг
收购	покупать, закупать, заготовлять (покупая)
收费	получение денег, сбор платежей
日常	повседневный, ежедневный; обыденный
星期	неделя; день недели
每次	каждый раз, всякий раз
治理	управлять, распоряжаться (чем-либо)
理想	идеал; мечта
签署	подписывать (документ); визировать
美女	красавица
落实	осуществить, реализовать; внедрить, ввести
装备	оборудовать, оснащать, снаряжать
解放	освобождать, раскрепощать
警告	сделать предупреждение; предупреждать
退出	отступать из...; оставлять
适用	быть пригодным (применимым); годиться
以外	вне, снаружи, за пределами
作战	воевать, сражаться, вести войну
俄国	Россия; русский; российский
保险	страховать, обеспечивать; страхование
全民	весь народ; всенародный, общенародный
到处	в любом месте; повсеместно, где угодно
前进	наступать, идти вперёд; продвигаться
化学	химия; химический; химико-, хемо-, химио-
占领	захватить, оккупировать, занять, оккупация
发起	начинать; учреждать; класть начало
同一	одинаковый, тождественный, идентичный
年底	конец года, в конце года
当选	быть избранным; избраться
心中	в сердце; на сердце, на душе; про себя
想起	вспомнить; прийти в голову
提到	упоминать, касаться (кого-л.
摄影	фотографировать, снимать
日报	ежедневная газета
明星	яркая звезда
法庭	суд, судебное установление; трибунал
皇帝	император
相互	взаимный, обоюдный; взаимно, друг с другом
相应	xiāngyìng соответствующий, надлежащий
立刻	немедленно, сразу же, тут же, сейчас же
结论	умозаключение; резюме; вывод
表明	выражать, изъявлять; показывать
记忆	память, воспоминания
试验	испытывать, исследовать опытным путём
随时	в любое время, когда угодно, всегда
一生	вся жизнь; за всю жизнь
主持	возглавлять, председательствовать
事故	случай, случайность, событие, происшествие
事物	вещь, предмет, объект
伊朗	Иран
分为	делиться на, подразделяться на
反而	наоборот, напротив, вопреки этому
安装	монтаж, установка; установить
将会	вспомогательный глагол
希腊	Греция; эллинский, греческий
总部	главное управление; штаб-квартира
改造	изменить, преобразовать, реконструировать
更是	в большей степени, [быть] ещё более
本地	данная местность, здесь, наши места
浙江	Чжэцзян (провинция в КНР)
海军	военно-морской флот (ВМФ)
热情	страсть; страстность; горячность, пылкость
牺牲	жертвенные животные (домашние: бык, кабан
睡觉	спать; ложиться спать
空气	воздух, атмосфера; воздушный, атмосферный
职务	должность; место службы; положение
股东	акционер, пайщик, паедержатель, компаньон
街道	улица, уличный, квартал
袭击	(нанести) внезапный удар
连接	конкатенация; соединяться, смыкаться
一片	одно целое; воедино; сплошной, целый
仅仅	только-только; едва-едва
公主	дочь императора, принцесса; королевна
卫星	астр. спутник; сателлит
固定	прочно установить, наглухо закрепить
垃圾	мусор, отбросы, отходы
好看	приятный, красивый; хорошо выглядеть
学术	наука; учебная дисциплина; умение; научный
对外	обращенный наружу; внешний; публично
常常	часто; регулярно, постоянно
旅行	путешествовать; путешествие, поездка
有所	кое-что; кое-какой; отчасти
校长	директор учебного заведения; ректор
档案	архив, досье; архивные дела (документы)
欧盟	Европейский союз, ЕС
此次	этот раз; на сей раз; этот, нынешний
满意	испытывать удовлетворение; удовлетворённый
环保	сокр. 环境保护
矛盾	противоречие; контрадикция
种种	всевозможный, всякого рода; разнообразный
